camltc|camltc.0.9.8|conf-bash|no|OCaml bindings for tokyo cabinet
camlzip|camlzip.1.13|conf-zlib|no|synopsis:
caper|caper.0.9|conf-m4|no|A tool for understanding and processing pcap (packet capture) expressions
capnp-rpc-net|capnp-rpc-net.2.1|conf-capnproto|no|synopsis:
capnp-rpc|capnp-rpc.2.1|conf-capnproto|no|synopsis:
capnp|capnp.3.6.0|conf-capnproto|no|synopsis:
catala|catala.0.10.0|conf-diffutils,conf-ninja,conf-npm,conf-pandoc,conf-python-3-dev|yes|synopsis:
certify|certify.0.3.3|conf-openssl|no|CLI utilities for simple X509 certificate manipulation
cfstream|cfstream.1.3.2|conf-m4|no|Stream operations in the style of Core's API
chacha|chacha.1.1.0|conf-pkg-config|no|The Chacha functions, in OCaml
clangml|clangml.4.8.0|conf-libclang,conf-ncurses,conf-zlib|no|OCaml bindings for Clang API
class_group_vdf|class_group_vdf.0.0.5|conf-g++,conf-gmp,conf-pkg-config|no|Verifiable Delay Functions bindings to Chia's VDF
coccinelle|coccinelle.1.3.0|conf-aclocal,conf-autoconf,conf-pkg-config,conf-python-3,conf-python-3-dev|no|Coccinelle is a C source code matching and transformation engine
cohttp-lwt-jsoo|cohttp-lwt-jsoo.6.1.0|conf-npm|no|CoHTTP implementation for the Js_of_ocaml JavaScript compiler
comby|comby.1.7.0|conf-autoconf,conf-gmp,conf-libev,conf-libpcre,conf-m4,conf-pkg-config,conf-sqlite3,conf-zlib|no|A tool for structural code search and replace that supports ~every language
compsort|compsort.0.9.2|conf-gmp|no|Reorder files in an archive to improve its compression
configuration|configuration.0.4.1|conf-bmake|no|Analyse configuration files
coqide|coqide.8.20.1|conf-adwaita-icon-theme,conf-findutils|no|The Coq Proof Assistant --- GTK3 IDE
corosync|corosync.0.1.0|conf-libcorosync|no|OCaml Corosync binding
cpm|cpm.12.2.0|conf-gnuplot|no|The Classification and Regression Performance Metrics library
cpu|cpu.2.0.0|conf-autoconf|no|Pin current process to given core number
cryptokit|cryptokit.1.20|conf-gmp-powm-sec,conf-zlib|no|A library of cryptographic primitives
cryptoverif|cryptoverif.2.11|conf-m4|no|CryptoVerif: Cryptographic protocol verifier in the computational model
csdp|csdp.6.2.0|conf-gcc,conf-lapack,conf-openblas|yes|Solver for semidefinite programming problems
ctypes-foreign|ctypes-foreign.0.23.0|conf-fts,conf-libffi,conf-ncurses,conf-pkg-config|no|Dynamic access to foreign C libraries using Ctypes
ctypes-zarith|ctypes-zarith.0.2.0|conf-pkg-config|no|"
ctypes|ctypes.0.23.0|conf-fts,conf-pkg-config|no|Combinators for binding to C libraries without writing any C
cudajit|cudajit.0.7.0|conf-cuda|no|synopsis:
current|current.0.7.1|conf-libev|no|Pipeline language for keeping things up-to-date
current_git|current_git.0.7.1|conf-git|no|Git plugin for OCurrent
current_web|current_web.0.7.1|conf-graphviz|no|Test web UI for OCurrent
curses|curses.1.0.11|conf-ncurses,conf-pkg-config|no|Bindings to ncurses
curve-sampling|curve-sampling.0.2.1|conf-gnuplot|no|Sampling of parametric and implicit curves
cvc5|cvc5.1.2.0|conf-cmake,conf-g++,conf-gcc,conf-gmp,conf-python-3,conf-python-3-dev,conf-python3-pyparsing,conf-python3-tomli|no|OCaml bindings for the cvc5 SMT solver
data-encoding|data-encoding.1.0.1|conf-npm|no|Library of JSON and binary encoding combinators
dbm|dbm.1.4|conf-dbm|no|Binding to the NDBM/GDBM Unix \"databases\"
delimcc|delimcc.2023.06.17|conf-which|no|synopsis:
diffast-git|diffast-git.0.2|conf-gmp,conf-pkg-config,conf-zlib|no|Git functions for Diff/AST API
diffast-langs-cpp|diffast-langs-cpp.0.2|conf-gmp,conf-pkg-config,conf-zlib|no|C++/C parser plugin for Diff/AST
diffast-langs-fortran|diffast-langs-fortran.0.2|conf-gmp,conf-pkg-config,conf-zlib|no|Fortran parser plugin for Diff/AST
diffast-langs-java|diffast-langs-java.0.2|conf-gmp,conf-pkg-config,conf-zlib|no|Java parser plugin for Diff/AST
diffast-langs-python|diffast-langs-python.0.2|conf-gmp,conf-pkg-config,conf-zlib|no|Python parser plugin for Diff/AST
diffast-langs-verilog|diffast-langs-verilog.0.2|conf-gmp,conf-pkg-config,conf-zlib|no|Verilog parser plugin for Diff/AST
dkml-component-staging-opam64|dkml-component-staging-opam64.2.2.0~dkml20220801|conf-dkml-cross-toolchain|no|DKML component for 64-bit versions of opam
dlm|dlm.0.3.3|conf-pkg-config|yes|Libdlm bindings
dose3-extra|dose3-extra.7.0.0|conf-dpkg,conf-python-3,conf-python3-yaml|no|Dose-extra libraries and tools (part of Mancoosi tools)
dream|dream.1.0.0~alpha8|conf-libev|no|Tidy, feature-complete Web framework
dssi|dssi.0.1.5|conf-dssi|no|Bindings for the DSSI API which provides audio synthesizers
dtc-pb|dtc-pb.1.0|conf-protoc|no|DTC Protocol library autogenerated from Protobuf description
dune-deps|dune-deps.1.4.0|conf-graphviz|no|Show dependency graph of a multi-component dune project
efl|efl.1.24.0|conf-efl,conf-pkg-config|no|synopsis:
eio_posix|eio_posix.1.2|conf-bash|no|Eio implementation for POSIX systems
elina|elina.1.3.2|conf-perl|no|ETH LIBRARY FOR NUMERICAL ANALYSIS
elpi|elpi.2.0.7|conf-time|no|ELPI - Embeddable λProlog Interpreter
eprover|eprover.3.1|conf-gcc|no|E Theorem Prover
errpy|errpy.0.0.10|conf-rust-2021|no|Errpy: An Error Recovering Python Parser implemented in Rust
esperanto-cosmopolitan|esperanto-cosmopolitan.0.0.6|conf-binutils|no|Cosmopolitan toolchain for OCaml compiler
esperanto|esperanto.0.0.4|conf-which|no|An OCaml compiler with Cosmopolitan
ez-conf-lib|ez-conf-lib.2|conf-findutils|no|Simple generator of conf-<pkg>.config files
ezjsonm-lwt|ezjsonm-lwt.1.3.0|conf-npm|no|Simple Lwt-based interface to the Jsonm JSON library
ezjsonm|ezjsonm.1.3.0|conf-npm|no|Simple interface on top of the Jsonm JSON library
faad|faad.0.5.1|conf-faad,conf-pkg-config|no|synopsis:
facteur|facteur.0.1.0|conf-libmagic|no|Tool to send an email
fadbadml|fadbadml.0.1.2|conf-python-3|no|FADBAD++ for OCaml
farmhash|farmhash.0.4|conf-c++|yes|Bindings for Google's farmhash library
fasmifra|fasmifra.2.1.0|conf-python-3,conf-rdkit|no|Molecular Generation by Fast Assembly of SMILES Fragments
fdkaac|fdkaac.0.3.3|conf-fdkaac|no|Fraunhofer FDK AAC Codec Library
ffmpeg-av|ffmpeg-av.1.2.4|conf-ffmpeg,conf-pkg-config|no|Bindings for the ffmpeg libraries -- top-level helpers
ffmpeg-avcodec|ffmpeg-avcodec.1.2.4|conf-ffmpeg,conf-pkg-config|no|Bindings for the ffmpeg avcodec library
ffmpeg-avdevice|ffmpeg-avdevice.1.2.4|conf-ffmpeg,conf-pkg-config|no|Bindings for the ffmpeg avdevice library
ffmpeg-avfilter|ffmpeg-avfilter.1.2.4|conf-ffmpeg,conf-pkg-config|no|Bindings for the ffmpeg avfilter library
ffmpeg-avutil|ffmpeg-avutil.1.2.4|conf-ffmpeg,conf-pkg-config|no|Bindings for the ffmpeg avutil libraries
ffmpeg-swresample|ffmpeg-swresample.1.2.4|conf-ffmpeg,conf-pkg-config|no|Bindings for the ffmpeg swresample library
ffmpeg-swscale|ffmpeg-swscale.1.2.4|conf-ffmpeg,conf-pkg-config|no|Bindings for the ffmpeg swscale library
fftw3|fftw3.0.8.5|conf-fftw3|no|Binding to the Fast Fourier Transform library FFTW
fiat-p256|fiat-p256.0.2.3|conf-pkg-config|no|Primitives for Elliptic Curve Cryptography taken from Fiat
flac|flac.1.0.0|conf-libflac,conf-pkg-config|no|Bindings to libflac
flint|flint.0.4.0|conf-flint,conf-mpfr,conf-pkg-config|no|Stub of the C library Flint3
frama-c-metacsl|frama-c-metacsl.0.8|conf-swi-prolog|no|MetAcsl plugin of Frama-C for writing pervasives properties
frama-c|frama-c.30.0|conf-graphviz,conf-gtksourceview3,conf-time|no|Platform dedicated to the analysis of source code written in C
frama-clang|frama-clang.0.0.17|conf-clang,conf-cmake,conf-libclang,conf-llvm|no|Frama-C plug-in based on Clang for parsing C++ files
frei0r|frei0r.0.1.2|conf-frei0r,conf-pkg-config|no|Bindings for the frei0r API which provides video effects
fswatch|fswatch.11-0.1.6|conf-fswatch|no|Bindings for libfswatch -- file change monitor
gammu|gammu.0.9.4|conf-pkg-config|yes|Cell phone and SIM card access
gappa|gappa.1.4.1|conf-autoconf,conf-automake,conf-bison,conf-boost,conf-flex,conf-g++,conf-gmp,conf-mpfr|no|Tool intended for formally proving properties on numerical programs dealing with floating-point or fixed-point arithmetic
gccjit|gccjit.0.3.2|conf-libgccjit|no|Bindings to libgccjit, the GCC JIT compiler
gd|gd.1.1|conf-gd,conf-pkg-config|no|OCaml interface to the GD graphics library.
getopts|getopts.0.4.0|conf-bmake|no|Analyse command line arguments
git-kv|git-kv.0.1.3|conf-git|no|A Mirage_kv implementation using git
glMLite|glMLite.0.03.53|conf-libjpeg|yes|OpenGL bindings for OCaml
glfw-ocaml|glfw-ocaml.3.3.1-2|conf-glfw3,conf-pkg-config|no|A GLFW binding for OCaml
gmp-ecm|gmp-ecm.7.0.3|conf-autoconf,conf-automake,conf-g++,conf-gmp,conf-libtool|no|GMP-ECM library for the Elliptic Curve Method (ECM) for integer factorization
gmp-freestanding|gmp-freestanding.6.2.1|conf-m4|no|The GNU Multiple Precision Arithmetic Library
gmp-xen|gmp-xen.6.0.0-1|conf-m4|no|The GNU Multiple Precision Arithmetic Library
gmp|gmp.6.2.1-5|conf-m4|yes|The GNU Multiple Precision Arithmetic Library
gnuplot|gnuplot.0.7|conf-gnuplot|no|synopsis: "Simple interface to Gnuplot
gobject-introspection|gobject-introspection.0.2|conf-glib-2,conf-gobject-introspection,conf-gtk3,conf-pkg-config|no|OCaml bindings for the GObject-Introspection library (https://gi.readthedocs.io/en/latest/)
goblint-cil|goblint-cil.2.0.6|conf-gcc,conf-perl|yes|synopsis:
goblint|goblint.2.5.0|conf-gcc,conf-gmp,conf-ruby|yes|Static analysis framework for C
gpiod|gpiod.0.7|conf-gpiod|no|synopsis:
graphics|graphics.5.1.2|conf-libX11,conf-pkg-config|no|The OCaml graphics library
graphv_gles2_native_impl|graphv_gles2_native_impl.0.1.1|conf-gles2|no|synopsis:
gsl|gsl.1.25.1|conf-gsl,conf-pkg-config|no|GSL - Bindings to the GNU Scientific Library
gstreamer|gstreamer.0.3.1|conf-gstreamer,conf-pkg-config|no|synopsis:
guile|guile.1.0|conf-gmp,conf-guile|no|Bindings to GNU Guile Scheme for OCaml
hack_parallel|hack_parallel.1.0.1|conf-pkg-config,conf-sqlite3|no|Parallel and shared memory library
hacl-star-raw|hacl-star-raw.0.7.2|conf-cmake,conf-which|no|Auto-generated low-level OCaml bindings for EverCrypt/HACL*
hacl_x25519|hacl_x25519.0.2.2|conf-pkg-config|no|synopsis:
haxe|haxe.4.1.1|conf-libpcre,conf-mbedtls,conf-neko,conf-zlib|no|Multi-target universal programming language
hdr_histogram|hdr_histogram.0.0.4|conf-cmake,conf-pkg-config,conf-zlib|no|OCaml bindings to Hdr Histogram
herdtools7|herdtools7.7.58|conf-which|no|The herdtools suite for simulating and studying weak memory models
hidapi-lwt|hidapi-lwt.1.2.1|conf-hidapi|no|Lwt-wrappers for hidapi library
hidapi|hidapi.1.2.1|conf-hidapi|no|Bindings to Signal11's hidapi library
hvsock|hvsock.3.0.1|conf-linux-libc-dev|no|Bindings for Hyper-V AF_VSOCK
i2c|i2c.0.1.2-0|conf-linux-libc-dev|no|i2c
imguiml|imguiml.v1.90.6|conf-cmake,conf-glew,conf-glfw3|no|ImGUI bindings to OCaml
io-page|io-page.3.0.0|conf-pkg-config|no|Support for efficient handling of I/O memory pages
