conf-gnomecanvas|conf-gnomecanvas.2|yes|yes|Virtual package relying on a Gnomecanvas system installation
conf-gnuplot|conf-gnuplot.0.1|no|yes|Virtual package relying on gnuplot installation
conf-gnustep-base|conf-gnustep-base.1|no|yes|Virtual package relying on gnustep-base lib system installation
conf-gnustep-gui|conf-gnustep-gui.1|no|yes|Virtual package relying on gnustep-gui lib system installation
conf-gnutls|conf-gnutls.1|yes|yes|Virtual package relying on a gnutls system installation
conf-gobject-introspection|conf-gobject-introspection.1.0|yes|yes|Virtual package relying on a system gobject-introspection installation
conf-goocanvas2|conf-goocanvas2.0|yes|yes|Virtual package relying on a Goocanvas-2 system installation
conf-gpiod|conf-gpiod.1|yes|yes|C libgpiod library for GPIO on recent (>4.8) Linux kernels
conf-graphviz|conf-graphviz.0.1|no|yes|Virtual package relying on graphviz installation
conf-gsl|conf-gsl.2|yes|yes|Virtual package relying on a GSL lib system installation
conf-gssapi|conf-gssapi.1|yes|yes|Virtual package relying on a krb5-gssapi system installation
conf-gstreamer|conf-gstreamer.1|yes|yes|Virtual package relying on libgstreamer
conf-gtk2|conf-gtk2.1|yes|yes|Virtual package relying on gtk2
conf-gtk3|conf-gtk3.18|yes|yes|Virtual package relying on GTK+ 3
conf-gtksourceview|conf-gtksourceview.2|yes|yes|Virtual package relying on a GtkSourceView system installation
conf-gtksourceview3|conf-gtksourceview3.0+2|yes|yes|Virtual package relying on a GtkSourceView-3 system installation
conf-guile|conf-guile.1|yes|yes|Virtual package relying on an GNU Guile system installation
conf-haveged|conf-haveged.1.0.0|no|yes|Check if havaged is installed on the system
conf-hidapi|conf-hidapi.0|yes|yes|Virtual package relying on a hidapi system installation
conf-ida|conf-ida.0.3|no|no|Checks that IDA Pro is installed
conf-jack|conf-jack.1|yes|yes|Virtual package relying on jack
conf-jq|conf-jq.1|no|yes|Virtual package relying on jq
conf-ladspa|conf-ladspa.1|no|yes|Virtual package relying on ladspa
conf-lame|conf-lame.1|no|yes|Virtual package relying on lame
conf-lapack|conf-lapack.1|no|yes|Virtual package for LAPACK configuration
conf-leveldb|conf-leveldb.2|no|yes|Virtual package relying on a LevelDB lib system installation
conf-libMagickCore|conf-libMagickCore.1|yes|yes|Virtual package relying on an ImageMagick system installation
conf-libX11|conf-libX11.1|yes|yes|Virtual package relying on an Xlib system installation
conf-libXft|conf-libXft.1|yes|yes|Virtual package relying on an Xft system installation
conf-libargon2|conf-libargon2.1|no|yes|Virtual package relying on libargon2
conf-libblake3|conf-libblake3.1.5.1|yes|yes|Virtual package relying on libblake3
conf-libbpf|conf-libbpf.0.1.0|no|yes|Virtual package for system installation of libbpf
conf-libbz2|conf-libbz2.1|no|yes|Virtual package relying on libbz2
conf-libclang|conf-libclang.15|no|yes|Virtual package relying on the installation of llvm and clang libraries (<= 15.0.x)
conf-libcorosync|conf-libcorosync.3|yes|yes|Virtual package relying on libcorosync system installation
conf-libcurl|conf-libcurl.2|no|yes|Virtual package relying on a libcurl system installation
conf-libdw|conf-libdw.1|yes|yes|Virtual package relying on libdw
