conf-gobject-introspection|conf-gobject-introspection.1.0|pkgcfg=yes|deb=libgirepository1.0-dev|brew=gobject-introspection|Virtual package relying on a system gobject-introspection installation
conf-goocanvas2|conf-goocanvas2.0|pkgcfg=yes|deb=libgoocanvas-2.0-dev|brew=goocanvas|Virtual package relying on a Goocanvas-2 system installation
conf-gpiod|conf-gpiod.1|pkgcfg=yes|deb=|brew=|C libgpiod library for GPIO on recent (>4.8) Linux kernels
conf-gsl|conf-gsl.2|pkgcfg=yes|deb=libgsl-dev|brew=gsl|Virtual package relying on a GSL lib system installation
conf-gssapi|conf-gssapi.1|pkgcfg=yes|deb=libkrb5-dev|brew=|Virtual package relying on a krb5-gssapi system installation
conf-gstreamer|conf-gstreamer.1|pkgcfg=yes|deb=|brew=|Virtual package relying on libgstreamer
conf-gtk2|conf-gtk2.1|pkgcfg=yes|deb=libgtk2.0-dev|brew=gtk+|Virtual package relying on gtk2
conf-gtk3|conf-gtk3.18|pkgcfg=yes|deb=libgtk-3-dev|brew=gtk+3|Virtual package relying on GTK+ 3
conf-gtksourceview|conf-gtksourceview.2|pkgcfg=yes|deb=libgtksourceview2.0-dev|brew=gtksourceview|Virtual package relying on a GtkSourceView system installation
conf-gtksourceview3|conf-gtksourceview3.0+2|pkgcfg=yes|deb=libgtksourceview-3.0-dev|brew=gtksourceview3|Virtual package relying on a GtkSourceView-3 system installation
conf-guile|conf-guile.1|pkgcfg=yes|deb=guile-3.0-dev|brew=guile|Virtual package relying on an GNU Guile system installation
conf-hidapi|conf-hidapi.0|pkgcfg=yes|deb=libhidapi-dev|brew=hidapi|Virtual package relying on a hidapi system installation
conf-jack|conf-jack.1|pkgcfg=yes|deb=libjack-dev|brew=jack|Virtual package relying on jack
conf-ladspa|conf-ladspa.1|pkgcfg=no|deb=ladspa-sdk|brew=|Virtual package relying on ladspa
conf-lame|conf-lame.1|pkgcfg=no|deb=libmp3lame-dev|brew=lame|Virtual package relying on lame
conf-lapack|conf-lapack.1|pkgcfg=no|deb=liblapack-dev|brew=|Virtual package for LAPACK configuration
conf-leveldb|conf-leveldb.2|pkgcfg=no|deb=libleveldb-dev|brew=leveldb|Virtual package relying on a LevelDB lib system installation
conf-libMagickCore|conf-libMagickCore.1|pkgcfg=yes|deb=libmagickcore-dev|brew=imagemagick|Virtual package relying on an ImageMagick system installation
conf-libX11|conf-libX11.1|pkgcfg=yes|deb=libx11-dev|brew=xquartz|Virtual package relying on an Xlib system installation
conf-libXft|conf-libXft.1|pkgcfg=yes|deb=libxft-dev|brew=xquartz|Virtual package relying on an Xft system installation
conf-libblake3|conf-libblake3.1.5.1|pkgcfg=yes|deb=|brew=blake3|Virtual package relying on libblake3
conf-libbpf|conf-libbpf.0.1.0|pkgcfg=no|deb=|brew=|Virtual package for system installation of libbpf
conf-libbz2|conf-libbz2.1|pkgcfg=no|deb=libbz2-dev|brew=bzip2|Virtual package relying on libbz2
conf-libclang|conf-libclang.15|pkgcfg=no|deb=|brew=llvm@15|Virtual package relying on the installation of llvm and clang libraries (<= 15.0.x)
conf-libcorosync|conf-libcorosync.3|pkgcfg=yes|deb=libcfg-dev|brew=|Virtual package relying on libcorosync system installation
conf-libcurl|conf-libcurl.2|pkgcfg=no|deb=libcurl4-gnutls-dev|brew=curl|Virtual package relying on a libcurl system installation
conf-libdw|conf-libdw.1|pkgcfg=yes|deb=libdw-dev|brew=|Virtual package relying on libdw
conf-libev|conf-libev.4-12|pkgcfg=no|deb=libev-dev|brew=libev|High-performance event loop/event model with lots of features
conf-libevent|conf-libevent.1|pkgcfg=yes|deb=libevent-dev|brew=libevent|Virtual package relying on libevent
conf-libffi|conf-libffi.2.0.0|pkgcfg=yes|deb=libffi-dev|brew=libffi|Virtual package relying on libffi system installation
conf-libflac|conf-libflac.1|pkgcfg=yes|deb=libflac-dev|brew=flac|Virtual package relying on libFLAC
conf-libfontconfig|conf-libfontconfig.1|pkgcfg=yes|deb=libfontconfig1-dev|brew=fontconfig|Virtual package relying on fontconfig
